tournament_name,position,team_name,year
1930 FIFA World Cup,1,Uruguay,1930
1930 FIFA World Cup,2,Argentina,1930
1930 FIFA World Cup,3,United States,1930
1930 FIFA World Cup,4,Yugoslavia,1930
1934 FIFA World Cup,1,Italy,1934
1934 FIFA World Cup,2,Czechoslovakia,1934
1934 FIFA World Cup,3,Germany,1934
1934 FIFA World Cup,4,Austria,1934
1938 FIFA World Cup,1,Italy,1938
1938 FIFA World Cup,2,Hungary,1938
1938 FIFA World Cup,3,Brazil,1938
1938 FIFA World Cup,4,Sweden,1938
1950 FIFA World Cup,1,Uruguay,1950
1950 FIFA World Cup,2,Brazil,1950
1950 FIFA World Cup,3,Sweden,1950
1950 FIFA World Cup,4,Spain,1950
1954 FIFA World Cup,1,West Germany,1954
1954 FIFA World Cup,2,Hungary,1954
1954 FIFA World Cup,3,Austria,1954
1954 FIFA World Cup,4,Uruguay,1954
1958 FIFA World Cup,1,Brazil,1958
1958 FIFA World Cup,2,Sweden,1958
1958 FIFA World Cup,3,France,1958
1958 FIFA World Cup,4,West Germany,1958
1962 FIFA World Cup,1,Brazil,1962
1962 FIFA World Cup,2,Czechoslovakia,1962
1962 FIFA World Cup,3,Chile,1962
1962 FIFA World Cup,4,Yugoslavia,1962
1966 FIFA World Cup,1,England,1966
1966 FIFA World Cup,2,West Germany,1966
1966 FIFA World Cup,3,Portugal,1966
1966 FIFA World Cup,4,Soviet Union,1966
1970 FIFA World Cup,1,Brazil,1970
1970 FIFA World Cup,2,Italy,1970
1970 FIFA World Cup,3,West Germany,1970
1970 FIFA World Cup,4,Uruguay,1970
1974 FIFA World Cup,1,West Germany,1974
1974 FIFA World Cup,2,Netherlands,1974
1974 FIFA World Cup,3,Poland,1974
1974 FIFA World Cup,4,Brazil,1974
1978 FIFA World Cup,1,Argentina,1978
1978 FIFA World Cup,2,Netherlands,1978
1978 FIFA World Cup,3,Brazil,1978
1978 FIFA World Cup,4,Italy,1978
1982 FIFA World Cup,1,Italy,1982
1982 FIFA World Cup,2,West Germany,1982
1982 FIFA World Cup,3,Poland,1982
1982 FIFA World Cup,4,France,1982
1986 FIFA World Cup,1,Argentina,1986
1986 FIFA World Cup,2,West Germany,1986
1986 FIFA World Cup,3,France,1986
1986 FIFA World Cup,4,Belgium,1986
1990 FIFA World Cup,1,West Germany,1990
1990 FIFA World Cup,2,Argentina,1990
1990 FIFA World Cup,3,Italy,1990
1990 FIFA World Cup,4,England,1990
1994 FIFA World Cup,1,Brazil,1994
1994 FIFA World Cup,2,Italy,1994
1994 FIFA World Cup,3,Sweden,1994
1994 FIFA World Cup,4,Bulgaria,1994
1998 FIFA World Cup,1,France,1998
1998 FIFA World Cup,2,Brazil,1998
1998 FIFA World Cup,3,Croatia,1998
1998 FIFA World Cup,4,Netherlands,1998
2002 FIFA World Cup,1,Brazil,2002
2002 FIFA World Cup,2,Germany,2002
2002 FIFA World Cup,3,Turkey,2002
2002 FIFA World Cup,4,South Korea,2002
2006 FIFA World Cup,1,Italy,2006
2006 FIFA World Cup,2,France,2006
2006 FIFA World Cup,3,Germany,2006
2006 FIFA World Cup,4,Portugal,2006
2010 FIFA World Cup,1,Spain,2010
2010 FIFA World Cup,2,Netherlands,2010
2010 FIFA World Cup,3,Germany,2010
2010 FIFA World Cup,4,Uruguay,2010
2014 FIFA World Cup,1,Germany,2014
2014 FIFA World Cup,2,Argentina,2014
2014 FIFA World Cup,3,Netherlands,2014
2014 FIFA World Cup,4,Brazil,2014
2018 FIFA World Cup,1,France,2018
2018 FIFA World Cup,2,Croatia,2018
2018 FIFA World Cup,3,Belgium,2018
2018 FIFA World Cup,4,England,2018